_computeFunctionValue              6    TK_FUNID            ----    function                      yes ----
4                                  11    TK_NUM              4          variable                      yes ----
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    termPrime                     no factor
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    termPrime                     no termPrime
----                               -1    -----------         ----    factor                        no arithmeticExpression
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    arithmeticExpression          no expPrime
ERROR_SYNTHETIC                    11    TK_CL               ----    factor                        yes ----
----                               -1    -----------         ----    arithmeticExpression          no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
----                               -1    -----------         ----    assignmentStmt                no arithmeticExpression
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    arithmeticExpression          no expPrime
;                                  11    TK_SEM              ----    assignmentStmt                yes ----
----                               -1    -----------         ----    otherStmts                    no statement
----                               -1    -----------         ----    otherStmts                    no otherStmts
c4bbb                              12    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    assignmentStmt                no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    statement                     no assignmentStmt
<---                               12    TK_ASSIGNOP         ----    assignmentStmt                yes ----
(                                  12    TK_OP               ----    factor                        yes ----
----                               -1    -----------         ----    term                          no factor
(                                  12    TK_OP               ----    factor                        yes ----
----                               -1    -----------         ----    term                          no factor
d4cbcd5677                         12    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    arithmeticExpression          no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
----                               -1    -----------         ----    factor                        no arithmeticExpression
-                                  12    TK_MINUS            ----    lowPrecedenceOperators        yes ----
----                               -1    -----------         ----    expPrime                      no lowPrecedenceOperators
----                               -1    -----------         ----    arithmeticExpression          no expPrime
2.35                               12    TK_RNUM             2.350000    variable                      yes ----
----                               -1    -----------         ----    factor                        no variable
----                               -1    -----------         ----    term                          no factor
----                               -1    -----------         ----    expPrime                      no term
EPSILON                            -1    TK_EPS              ----    termPrime                     yes ----
----                               -1    -----------         ----    term                          no termPrime
EPSILON                            -1    TK_EPS              ----    expPrime                      yes ----
----                               -1    -----------         ----    expPrime                      no expPrime
)                                  12    TK_CL               ----    factor                        yes ----
----                               -1    -----------         ----    arithmeticExpression          no term
*                                  12    TK_MUL              ----    highPrecedenceOperators       yes ----
----                               -1    -----------         ----    termPrime                     no highPrecedenceOperators
----                               -1    -----------         ----    term                          no termPrime
(                                  12    TK_OP               ----    factor                        yes ----
----                               -1    -----------         ----    termPrime                     no factor
